,file_name,lexico_total,sentilex_total,oplexicon_total,vader_total,textblob_total,Lexico Avg Score,Sentilex Avg Score,OPLexicon Avg Score,Vader Avg Score,TextBlob Avg Score,Overall Sentiment Score
0,ROMI_Release de Resultados 1T19.pdf,-52,9,-83,-16.583099999999988,-5.462063492063492,-0.45614035087719296,0.07894736842105263,-0.7280701754385965,-0.1454657894736841,-0.047912837649679754,-0.6974622807017544
1,ROMI_Release de Resultados 2T19.pdf,-32,9,-63,-12.083099999999995,1.2867521367521368,-0.2644628099173554,0.0743801652892562,-0.5206611570247934,-0.09986033057851235,0.010634315179769725,-0.49494214876033055
2,ROMI_Release de Resultados 3T19.pdf,-20,12,-58,-15.36419999999999,-0.7294590643274856,-0.16666666666666666,0.1,-0.48333333333333334,-0.12803499999999993,-0.006078825536062381,-0.465245
3,ROMI_Release de Resultados 4T19.pdf,-35,14,-70,-16.076199999999993,-0.9181372549019603,-0.26515151515151514,0.10606060606060606,-0.5303030303030303,-0.12178939393939389,-0.00695558526440879,-0.511385606060606
4,ROMI_Release de Resultados 1T20.pdf,-15,37,-52,-15.945799999999993,1.212777777777778,-0.10638297872340426,0.2624113475177305,-0.36879432624113473,-0.11309078014184393,0.00860126083530339,-0.3212957446808511
5,ROMI_Release de Resultados 2T20.pdf,-29,35,-59,-14.718299999999992,2.396666666666667,-0.1895424836601307,0.22875816993464052,-0.38562091503267976,-0.09619803921568622,0.015664488017429194,-0.3214640522875817
6,ROMI_Release de Resultados 3T20.pdf,-30,31,-63,-16.146999999999995,2.0205,-0.2127659574468085,0.2198581560283688,-0.44680851063829785,-0.11451773049645386,0.014329787234042555,-0.4013617021276596
7,ROMI_Release de Resultados 4T20.pdf,-30,27,-65,-16.686199999999992,1.4306944444444445,-0.234375,0.2109375,-0.5078125,-0.13036093749999994,0.011177300347222223,-0.46325
8,ROMI_Release de Resultados 1T21.pdf,-35,24,-55,-17.022399999999994,1.5376388888888888,-0.3211009174311927,0.22018348623853212,-0.5045871559633027,-0.1561688073394495,0.014106778797145768,-0.5164770642201835
9,ROMI_Release de Resultados 2T21.pdf,-39,22,-55,-16.61179999999999,1.8999999999999997,-0.3305084745762712,0.1864406779661017,-0.4661016949152542,-0.14077796610169485,0.016101694915254233,-0.4008135593220339
10,ROMI_Release de Resultados 3T21.pdf,-16,25,-44,-15.326499999999994,1.5166666666666666,-0.13008130081300814,0.2032520325203252,-0.35772357723577236,-0.12460569105691052,0.012330623306233062,-0.3137560975609756
11,ROMI_Release de Resultados 4T21.pdf,-33,19,-61,-15.725699999999991,-0.35055555555555545,-0.2578125,0.1484375,-0.4765625,-0.12285703124999993,-0.002738715277777777,-0.4021875
12,ROMI_Release de Resultados 1T22.pdf,3,21,-16,-11.379099999999996,1.069871794871795,0.02912621359223301,0.20388349514563106,-0.1553398058252427,-0.11047669902912617,0.010387104804580535,-0.15137864077669902
13,ROMI_Release de Resultados 2T22.pdf,-11,17,-34,-13.916799999999995,1.0050000000000001,-0.10091743119266056,0.1559633027522936,-0.3119266055045872,-0.12767706422018343,0.009220183486238534,-0.23207339449541284
14,ROMI_Release de Resultados 3T22.pdf,-20,28,-45,-15.319399999999991,-0.268915343915344,-0.1388888888888889,0.19444444444444445,-0.3125,-0.10638472222222216,-0.0018674676660787777,-0.22633333333333333
