,file_name,lexico_total,sentilex_total,oplexicon_total,vader_total,textblob_total,Lexico Avg Score,Sentilex Avg Score,OPLexicon Avg Score,Vader Avg Score,TextBlob Avg Score,Overall Sentiment Score
0,TAESA_Release de Resultados 1T19.pdf,48,121,33,0.9595,-0.141891891891892,48.0,121.0,33.0,0.9595,-0.141891891891892,33.0
1,TAESA_Release de Resultados 2T19.pdf,55,170,60,0.8442,-0.07210144927536226,55.0,170.0,60.0,0.8442,-0.07210144927536226,60.0
2,TAESA_Release de Resultados 3T19.pdf,44,172,32,-0.9186,-0.06930693069306929,44.0,172.0,32.0,-0.9186,-0.06930693069306929,32.0
3,TAESA_Release de Resultados 4T19.pdf,88,192,81,0.2263,-0.04285714285714282,88.0,192.0,81.0,0.2263,-0.04285714285714282,81.0
4,TAESA_Release de Resultados 1T20.pdf,68,172,96,0.8957,-0.03678160919540228,68.0,172.0,96.0,0.8957,-0.03678160919540228,96.0
5,TAESA_Release de Resultados 2T20.pdf,89,166,119,0.296,-0.054726368159203946,89.0,166.0,119.0,0.296,-0.054726368159203946,119.0
6,TAESA_Release de Resultados 3T20.pdf,95,164,129,0.8225,-0.06947368421052631,95.0,164.0,129.0,0.8225,-0.06947368421052631,129.0
7,TAESA_Release de Resultados 4T20.pdf,143,212,169,0.8555,-0.04774774774774772,143.0,212.0,169.0,0.8555,-0.04774774774774772,169.0
8,TAESA_Release de Resultados 1T21.pdf,102,158,142,0.9601,-0.1147186147186147,102.0,158.0,142.0,0.9601,-0.1147186147186147,142.0
9,TAESA_Release de Resultados 2T21.pdf,83,177,95,-0.5423,-0.10153256704980848,83.0,177.0,95.0,-0.5423,-0.10153256704980848,95.0
10,TAESA_Release de Resultados 3T21.pdf,126,189,122,0.91,-0.08836477987421389,126.0,189.0,122.0,0.91,-0.08836477987421389,122.0
11,TAESA_Release de Resultados 4T21.pdf,140,191,135,0.9246,-0.09632768361581927,140.0,191.0,135.0,0.9246,-0.09632768361581927,135.0
12,TAESA_Release de Resultados 1T22.pdf,76,111,95,0.9643,-0.08284313725490196,76.0,111.0,95.0,0.9643,-0.08284313725490196,95.0
13,TAESA_Release de Resultados 2T22.pdf,27,111,57,0.886,-0.13091575091575092,27.0,111.0,57.0,0.886,-0.13091575091575092,57.0
14,TAESA_Release de Resultados 3T22.pdf,33,105,63,0.9485,-0.15468975468975474,33.0,105.0,63.0,0.9485,-0.15468975468975474,63.0
