,file_name,word,count,Found Lexico,Found OPLexico,Found senti_lex,Found Vader,Found Text
0,UNIPAR_Release de Resultados 1T22.pdf,divulgação,15,0,0,0,0,0
1,UNIPAR_Release de Resultados 1T22.pdf,resultados,21,0,0,0,0,0
2,UNIPAR_Release de Resultados 1T22.pdf,1t22,65,0,0,0,0,0
3,UNIPAR_Release de Resultados 1T22.pdf,unipar,20,0,0,0,0,0
4,UNIPAR_Release de Resultados 1T22.pdf,líder,1,1,0,0,0,0
5,UNIPAR_Release de Resultados 1T22.pdf,líder,1,0,1,0,0,0
6,UNIPAR_Release de Resultados 1T22.pdf,líder,1,0,0,0,0,0
7,UNIPAR_Release de Resultados 1T22.pdf,produção,6,0,0,0,0,0
8,UNIPAR_Release de Resultados 1T22.pdf,cloro,2,0,0,0,0,0
9,UNIPAR_Release de Resultados 1T22.pdf,soda,6,0,0,0,0,0
10,UNIPAR_Release de Resultados 1T22.pdf,pvc,7,0,0,0,0,0
11,UNIPAR_Release de Resultados 1T22.pdf,américa,2,0,0,0,0,0
12,UNIPAR_Release de Resultados 1T22.pdf,sul,2,0,0,0,0,0
13,UNIPAR_Release de Resultados 1T22.pdf,registrou,5,0,0,0,0,0
14,UNIPAR_Release de Resultados 1T22.pdf,receita,18,0,0,0,0,0
15,UNIPAR_Release de Resultados 1T22.pdf,líquida,22,0,1,0,0,0
16,UNIPAR_Release de Resultados 1T22.pdf,líquida,22,0,0,0,0,0
17,UNIPAR_Release de Resultados 1T22.pdf,r,82,0,0,0,0,0
18,UNIPAR_Release de Resultados 1T22.pdf,18905,4,0,0,0,0,0
19,UNIPAR_Release de Resultados 1T22.pdf,milhões,39,0,0,0,0,0
20,UNIPAR_Release de Resultados 1T22.pdf,manutenção,3,0,0,0,0,0
21,UNIPAR_Release de Resultados 1T22.pdf,bom,1,1,0,0,0,0
22,UNIPAR_Release de Resultados 1T22.pdf,bom,1,0,1,0,0,0
23,UNIPAR_Release de Resultados 1T22.pdf,bom,1,0,0,1,0,0
24,UNIPAR_Release de Resultados 1T22.pdf,bom,1,0,0,0,0,0
