,file_name,lexico_total,sentilex_total,oplexicon_total,vader_total,textblob_total,Lexico Avg Score,Sentilex Avg Score,OPLexicon Avg Score,Vader Avg Score,TextBlob Avg Score,Overall Sentiment Score
0,UNIPAR_Release de Resultados 1T22.pdf,-37,18,-47,-12.987499999999995,3.189285714285713,-0.2846153846153846,0.13846153846153847,-0.36153846153846153,-0.09990384615384612,0.024532967032967024,-0.39573384615384616
1,UNIPAR_Release de Resultados 2T22.pdf,-5,34,-26,-19.292599999999986,7.208333333333332,-0.02857142857142857,0.19428571428571428,-0.14857142857142858,-0.11024342857142849,0.04119047619047619,-0.15422228571428567
2,UNIPAR_Release de Resultados 3T22.pdf,-16,37,-20,-16.031099999999995,7.3325000000000005,-0.13333333333333333,0.30833333333333335,-0.16666666666666666,-0.13359249999999995,0.06110416666666667,-0.10480416666666666
3,UNIPAR_Release de Resultados 1T21.pdf,-19,21,-37,-18.997199999999992,5.5874999999999995,-0.1310344827586207,0.14482758620689656,-0.25517241379310346,-0.13101517241379304,0.03853448275862069,-0.2558303448275862
4,UNIPAR_Release de Resultados 2T21.pdf,-23,50,-37,-24.5413,5.170833333333334,-0.13068181818181818,0.2840909090909091,-0.21022727272727273,-0.13943920454545455,0.029379734848484853,-0.17288920454545448
5,UNIPAR_Release de Resultados 3T21.pdf,-8,47,-21,-17.352899999999998,5.79375,-0.04938271604938271,0.29012345679012347,-0.12962962962962962,-0.10711666666666665,0.03576388888888889,-0.11428456790123454
6,UNIPAR_Release de Resultados 4T21.pdf,-14,47,-43,-16.04579999999999,3.1087499999999997,-0.08187134502923976,0.27485380116959063,-0.25146198830409355,-0.09383508771929819,0.018179824561403508,-0.20644912280701752
7,UNIPAR_Release de Resultados 1T20.pdf,-9,18,-47,-19.29099999999999,5.347222222222221,-0.05454545454545454,0.10909090909090909,-0.28484848484848485,-0.11691515151515146,0.032407407407407406,-0.23386
8,UNIPAR_Release de Resultados 2T20.pdf,-4,20,-34,-24.589599999999983,3.5388888888888874,-0.023121387283236993,0.11560693641618497,-0.19653179190751446,-0.142136416184971,0.020456005138086056,-0.1706017341040462
9,UNIPAR_Release de Resultados 3T20.pdf,-4,58,-20,-17.67199999999999,12.063888888888885,-0.020618556701030927,0.29896907216494845,-0.10309278350515463,-0.09109278350515458,0.06218499427262312,-0.08604484536082474
10,UNIPAR_Release de Resultados 4T20.pdf,-15,37,-44,-14.317399999999994,8.691666666666668,-0.08379888268156424,0.20670391061452514,-0.24581005586592178,-0.07998547486033517,0.04855679702048418,-0.17828603351955305
11,UNIPAR_Release de Resultados 1T19.pdf,-44,15,-60,-17.703599999999994,-1.6865079365079365,-0.411214953271028,0.14018691588785046,-0.5607476635514018,-0.1654542056074766,-0.015761756415962024,-0.5552345794392523
12,UNIPAR_Release de Resultados 2T19.pdf,-64,9,-80,-26.338799999999992,-3.805952380952381,-0.5289256198347108,0.0743801652892562,-0.6611570247933884,-0.2176760330578512,-0.03145415190869737,-0.6705752066115701
13,UNIPAR_Release de Resultados 3T19.pdf,-50,16,-77,-21.787899999999993,-1.7874999999999999,-0.4166666666666667,0.13333333333333333,-0.6416666666666667,-0.1815658333333333,-0.014895833333333332,-0.6351399999999998
14,UNIPAR_Release de Resultados 4T19.pdf,-61,5,-76,-19.276299999999992,-2.576111111111111,-0.48031496062992124,0.03937007874015748,-0.5984251968503937,-0.15178188976377946,-0.020284339457567805,-0.6109771653543307
