,file_name,lexico_total,sentilex_total,oplexicon_total,vader_total,textblob_total,Lexico Avg Score,Sentilex Avg Score,OPLexicon Avg Score,Vader Avg Score,TextBlob Avg Score,Overall Sentiment Score
0,VIVO_Release de Resultados 1T19.pdf,-28,15,-18,0.9674,-0.28095238095238106,-28.0,15.0,-18.0,0.9674,-0.28095238095238106,-18.0
1,VIVO_Release de Resultados 2T19.pdf,-15,20,-13,0.9918,-0.2452380952380953,-15.0,20.0,-13.0,0.9918,-0.2452380952380953,-13.0
2,VIVO_Release de Resultados 3T19.pdf,0,29,1,0.9756,-0.25689655172413806,0.0,29.0,1.0,0.9756,-0.25689655172413806,1.0
3,VIVO_Release de Resultados 4T19.pdf,14,33,11,0.9974,-0.2893939393939394,14.0,33.0,11.0,0.9974,-0.2893939393939394,11.0
4,VIVO_Release de Resultados 1T20.pdf,-15,19,-11,0.9921,-0.28496732026143806,-15.0,19.0,-11.0,0.9921,-0.28496732026143806,-11.0
5,VIVO_Release de Resultados 2T20.pdf,-29,4,-34,0.9814,-0.27500000000000013,-29.0,4.0,-34.0,0.9814,-0.27500000000000013,-34.0
6,VIVO_Release de Resultados 3T20.pdf,1,25,10,0.9682,-0.2323965651834505,1.0,25.0,10.0,0.9682,-0.2323965651834505,10.0
7,VIVO_Release de Resultados 4T20.pdf,22,34,20,0.9545,-0.1930107526881721,22.0,34.0,20.0,0.9545,-0.1930107526881721,20.0
8,VIVO_Release de Resultados 1T21.pdf,51,60,56,0.9451,-0.14210526315789476,51.0,60.0,56.0,0.9451,-0.14210526315789476,56.0
9,VIVO_Release de Resultados 2T21.pdf,108,91,97,0.979,-0.3058558558558559,108.0,91.0,97.0,0.979,-0.3058558558558559,97.0
10,VIVO_Release de Resultados 3T21.pdf,77,76,74,0.7184,-0.23012820512820517,77.0,76.0,74.0,0.7184,-0.23012820512820517,74.0
11,VIVO_Release de Resultados 4T21.pdf,88,80,82,0.9837,-0.19656862745098047,88.0,80.0,82.0,0.9837,-0.19656862745098047,82.0
12,VIVO_Release de Resultados 1T22.pdf,-10,13,-9,0.5859,-0.04897435897435897,-10.0,13.0,-9.0,0.5859,-0.04897435897435897,-9.0
13,VIVO_Release de Resultados 2T22.pdf,54,34,52,0.9423,-0.2710144927536232,54.0,34.0,52.0,0.9423,-0.2710144927536232,52.0
14,VIVO_Release de Resultados 3T22.pdf,48,30,46,0.9578,-0.2519047619047619,48.0,30.0,46.0,0.9578,-0.2519047619047619,46.0
