,word,polarity,sentiment
0,#2011,htag,-1
1,#2014,htag,-1
2,#2,htag,-1
3,#4square,htag,-1
4,#64bit,htag,1
5,ababadar,vb,0
6,ababelar-se,vb,1
7,ababelar,vb,-1
8,abaçanar,vb,1
9,abacinar,vb,1
10,﻿abafada,adj,-1
11,abafadas,adj,-1
12,abafado,adj,-1
13,abafados,adj,-1
14,abafante,adj,-1
15,abafantes,adj,-1
16,abafar,vb,-1
17,abaixada,adj,-1
18,abaixadas,adj,-1
19,abaixado,adj,-1
20,abaixados,adj,-1
21,abaixar-se,vb,0
22,abaixar,vb,0
23,abalada,adj,-1
24,abaladas,adj,-1
25,abalado,adj,-1
26,abalados,adj,-1
27,abalançado,adj,1
28,abalançar,vb,1
29,abalar-se,vb,0
30,abalar,vb,0
31,abalizada,adj,1
32,abalizadas,adj,1
33,abalizado,adj,1
34,abalizados,adj,1
35,abalizar,vb,0
36,abalroar-se,vb,1
37,abalroar,vb,0
38,abanar,vb,0
39,abandalhada,adj,-1
40,abandalhadas,adj,-1
41,abandalhado,adj,-1
42,abandalhados,adj,-1
43,abandalhar,vb,1
44,abandar,vb,-1
45,abandonada,adj,-1
46,abandonadas,adj,-1
47,abandonado,adj,-1
48,abandonados,adj,-1
49,abandonar-se,vb,0
50,abandonar,vb,-1
51,abarbarado,adj,1
52,abarbar,vb,1
53,abarcante,adj,-1
54,abarcantes,adj,-1
55,abarcar,vb,-1
56,abarrancar,vb,-1
57,abarregar,vb,1
58,abarreirar,vb,-1
59,abarrocar,vb,-1
60,abarrotada,adj,-1
61,abarrotadas,adj,-1
62,abarrotado,adj,-1
63,abarrotados,adj,-1
64,abarrotar,vb,0
65,abasbacar,vb,0
66,abastada,adj,1
67,abastadas,adj,1
68,abastadear,vb,1
69,abastado,adj,1
70,abastados,adj,1
71,abastardar-se,vb,1
72,abastardar,vb,1
73,abastardear-se,vb,1
74,abastar,vb,-1
75,abastecer,vb,1
76,abastecida,adj,0
77,abastecidas,adj,0
78,abastecido,adj,0
79,abastecidos,adj,0
80,abastoso,adj,1
81,abater,vb,-1
82,abatida,adj,-1
83,abatidas,adj,-1
84,abatido,adj,-1
85,abatidos,adj,-1
86,abatocar,vb,1
87,abdicar,vb,-1
88,abduzir-se,vb,1
89,abduzir,vb,0
90,abeberar,vb,0
91,abeirar-se,vb,1
92,abeirar,vb,0
93,abelhuda,adj,-1
94,abelhudar,vb,0
95,abelhudas,adj,-1
96,abelhudo,adj,-1
97,abelhudos,adj,-1
98,abemolar,vb,0
99,abençoada,adj,1
100,abençoadas,adj,1
101,abençoado,adj,1
102,abençoados,adj,1
103,abençoar,vb,0
104,aberrante,adj,-1
105,aberrantes,adj,-1
106,aberrativa,adj,-1
107,aberrativas,adj,-1
108,aberrativo,adj,-1
109,aberrativos,adj,-1
110,aberratório,adj,1
111,aberta,adj,1
112,abertão,adj,1
113,abertas,adj,1
114,aberto,adj,1
115,abertos,adj,1
116,abespinhada,adj,-1
117,abespinhadas,adj,-1
118,abespinhado,adj,-1
119,abespinhados,adj,-1
120,abespinhar,vb,-1
121,abestalhada,adj,-1
122,abestalhadas,adj,-1
123,abestalhado,adj,-1
124,abestalhados,adj,-1
125,abetumado,adj,-1
126,abetumar,vb,0
127,abicar,vb,0
128,abichar,vb,0
129,abilolada,adj,-1
130,abiloladas,adj,-1
131,abilolado,adj,-1
132,abilolados,adj,-1
133,abiscoitar,vb,0
134,abiselar,vb,1
135,abismada,adj,-1
136,abismadas,adj,-1
137,abismado,adj,-1
138,abismados,adj,-1
139,abismais,adj,-1
140,abismal,adj,-1
141,abismar,vb,1
142,abjecta,adj,-1
143,abjectas,adj,-1
144,abjecto,adj,-1
145,abjectos,adj,-1
146,abjeta,adj,-1
147,abjetas,adj,-1
148,abjeto,adj,-1
149,abjetos,adj,-1
150,abjugar-se,vb,1
151,abjugar,vb,0
152,abjurar,vb,1
153,ablegar-se,vb,1
154,ablegar,vb,1
155,abluir,vb,0
156,abnegada,adj,1
157,abnegadas,adj,1
158,abnegado,adj,1
159,abnegados,adj,1
160,abnegar,vb,1
161,abnoitar,vb,1
162,abnormal,adj,1
163,abnóxio,adj,1
164,abnuir,vb,1
165,abobada,adj,-1
166,abobadar,vb,0
167,abobadas,adj,-1
168,abobado,adj,-1
169,abobados,adj,-1
170,abobalhada,adj,-1
171,abobalhadas,adj,-1
172,abobalhado,adj,-1
173,abobalhados,adj,-1
174,abobalhar,vb,1
175,abocanhar,vb,-1
176,abocar,vb,-1
